Baseline	Perturbed	Freq
C0	C0	57106
C1	C0	89769
C23	C0	9885
C29	C0	1
C31	C0	3573
C37	C0	3
C48	C0	2
C55	C0	17
C64	C0	3
C65	C0	15
C70	C0	1
C71	C0	119
C1	C1	26799
C23	C1	5156
C3	C1	98949
C31	C1	1023
C48	C1	1
C5	C1	160
C55	C1	3
C65	C1	1
C70	C1	8
C71	C1	287
C15	C10	3
C18	C10	1
C19	C10	3750
C20	C10	1
C21	C10	1
C26	C10	1
C27	C10	3
C29	C10	1
C34	C10	296
C44	C10	5
C5	C10	2
C64	C10	20
C65	C10	10
C68	C10	1
C7	C10	5
C8	C10	68176
C13	C11	18
C15	C11	2546
C29	C11	39064
C31	C11	1
C32	C11	51
C33	C11	3
C36	C11	29846
C37	C11	58
C48	C11	1
C60	C11	2
C63	C11	14
C73	C11	3
C11	C12	100
C14	C12	31
C17	C12	12
C18	C12	477
C21	C12	26
C28	C12	754
C32	C12	4
C34	C12	9
C4	C12	67653
C41	C12	6
C44	C12	1
C45	C12	68
C46	C12	45
C47	C12	15
C59	C12	115
C63	C12	1061
C69	C12	5
C10	C13	2
C14	C13	15
C15	C13	17
C16	C13	56
C17	C13	1
C18	C13	125
C20	C13	2
C21	C13	17
C25	C13	2170
C26	C13	4
C27	C13	111
C28	C13	540
C35	C13	7
C40	C13	22
C41	C13	12
C43	C13	2
C46	C13	189
C5	C13	100
C50	C13	252
C51	C13	222
C54	C13	21
C58	C13	3
C60	C13	8
C62	C13	68
C63	C13	1
C67	C13	8
C7	C13	60997
C70	C13	2
C8	C13	3
C12	C14	5938
C15	C14	192
C22	C14	1
C26	C14	35233
C30	C14	17
C32	C14	192
C44	C14	17992
C45	C14	77
C50	C14	1
C53	C14	4
C55	C14	29
C60	C14	380
C63	C14	18
C7	C14	1878
C73	C14	10
C13	C15	54952
C15	C15	4329
C21	C15	9
C29	C15	119
C30	C15	2
C32	C15	2
C36	C15	1585
C50	C15	1
C53	C15	1
C57	C15	232
C58	C15	7
C6	C15	7
C63	C15	25
C67	C15	1
C7	C15	152
C73	C15	1
C13	C16	3
C14	C16	10
C16	C16	213
C17	C16	48856
C18	C16	1040
C21	C16	662
C25	C16	9
C26	C16	4
C27	C16	293
C28	C16	12
C32	C16	212
C33	C16	2
C34	C16	26
C35	C16	3783
C38	C16	5
C4	C16	3
C40	C16	1825
C41	C16	36
C46	C16	13
C50	C16	1
C51	C16	242
C56	C16	98
C58	C16	2
C62	C16	1
C63	C16	2980
C67	C16	1
C7	C16	986
C10	C17	2496
C20	C17	34810
C21	C17	907
C24	C17	19659
C26	C17	5
C3	C17	103
C30	C17	10
C36	C17	1
C42	C17	3
C43	C17	818
C5	C17	1
C54	C17	8
C6	C17	81
C61	C17	3
C64	C17	6
C7	C17	47
C8	C17	9
C10	C18	1
C15	C18	6
C2	C18	10606
C22	C18	43175
C27	C18	2
C29	C18	1
C31	C18	1
C34	C18	2
C35	C18	5
C37	C18	57
C43	C18	475
C49	C18	3
C55	C18	60
C61	C18	3770
C64	C18	18
C7	C18	18
C14	C19	54799
C17	C19	19
C25	C19	43
C27	C19	4
C28	C19	13
C33	C19	1
C4	C19	1
C40	C19	192
C41	C19	91
C45	C19	36
C50	C19	2
C63	C19	231
C7	C19	464
C70	C19	1
C10	C2	924
C20	C2	7149
C24	C2	21903
C30	C2	5
C36	C2	20
C37	C2	3
C42	C2	2357
C43	C2	21
C54	C2	3
C6	C2	79915
C61	C2	15
C64	C2	32
C13	C20	34
C15	C20	45869
C16	C20	2
C21	C20	4
C26	C20	4547
C27	C20	5
C29	C20	28
C30	C20	719
C32	C20	12
C34	C20	1
C36	C20	83
C43	C20	7
C45	C20	1
C49	C20	1
C5	C20	390
C50	C20	1
C53	C20	33
C57	C20	7
C58	C20	1
C60	C20	1912
C7	C20	340
C10	C21	2
C12	C21	53392
C26	C21	37
C28	C21	1
C32	C21	2
C44	C21	85
C53	C21	1
C6	C21	2
C63	C21	49
C15	C22	107
C16	C22	47745
C17	C22	133
C18	C22	1
C21	C22	262
C26	C22	2
C27	C22	607
C38	C22	6
C5	C22	2774
C60	C22	5
C61	C22	6
C63	C22	7
C7	C22	739
C11	C23	130
C16	C23	1996
C17	C23	180
C18	C23	45705
C27	C23	1
C28	C23	14
C32	C23	55
C34	C23	5
C38	C23	1
C4	C23	135
C40	C23	1294
C46	C23	129
C59	C23	2
C63	C23	20
C7	C23	9
C10	C24	1
C19	C24	42485
C20	C24	14
C21	C24	1
C30	C24	1
C34	C24	1
C37	C24	3
C48	C24	2
C54	C24	4
C64	C24	3
C65	C24	21
C68	C24	2853
C72	C24	1
C8	C24	4215
C14	C25	3
C15	C25	40
C16	C25	6
C17	C25	7
C20	C25	1
C21	C25	40512
C25	C25	5
C26	C25	450
C27	C25	962
C29	C25	36
C31	C25	6
C32	C25	68
C34	C25	30
C35	C25	3
C36	C25	48
C37	C25	11
C4	C25	5
C41	C25	4
C45	C25	450
C46	C25	29
C48	C25	2
C5	C25	158
C50	C25	285
C51	C25	3
C52	C25	3
C54	C25	1
C55	C25	1
C56	C25	12
C59	C25	1
C61	C25	5
C7	C25	2757
C8	C25	4
C10	C26	264
C17	C26	1
C20	C26	7
C21	C26	63
C24	C26	31
C27	C26	3488
C3	C26	1
C30	C26	37204
C32	C26	1
C37	C26	3
C42	C26	4
C43	C26	1095
C47	C26	6
C49	C26	429
C5	C26	472
C50	C26	16
C6	C26	2
C60	C26	36
C61	C26	6
C66	C26	11
C67	C26	3
C7	C26	22
C12	C27	6
C14	C27	1
C15	C27	215
C17	C27	293
C21	C27	36
C26	C27	316
C27	C27	29
C28	C27	64
C29	C27	13
C30	C27	1
C32	C27	36180
C34	C27	491
C35	C27	2
C38	C27	1
C40	C27	1
C44	C27	3
C45	C27	6
C50	C27	53
C51	C27	7
C58	C27	18
C60	C27	21
C61	C27	9
C63	C27	39
C7	C27	4753
C74	C27	1
C14	C28	82
C17	C28	5
C18	C28	64
C21	C28	2
C25	C28	296
C28	C28	38568
C32	C28	1
C39	C28	1
C4	C28	1266
C40	C28	411
C41	C28	23
C46	C28	23
C47	C28	7
C59	C28	1
C63	C28	3
C69	C28	1
C7	C28	408
C14	C29	7
C25	C29	36527
C27	C29	1
C28	C29	18
C4	C29	21
C40	C29	28
C41	C29	37
C45	C29	1
C47	C29	2
C56	C29	1
C63	C29	115
C12	C3	3
C2	C3	94350
C22	C3	4
C29	C3	1
C43	C3	13
C49	C3	422
C55	C3	6
C61	C3	1559
C64	C3	2
C11	C30	38
C17	C30	4
C18	C30	4
C21	C30	7
C27	C30	4
C32	C30	15
C34	C30	33251
C38	C30	6
C4	C30	25
C41	C30	1
C46	C30	211
C47	C30	2
C50	C30	1
C6	C30	5
C60	C30	4
C61	C30	4
C63	C30	4
C69	C30	1203
C7	C30	310
C0	C31	135
C1	C31	21
C21	C31	85
C23	C31	117
C3	C31	171
C31	C31	33773
C5	C31	6
C69	C31	1
C9	C31	6
C17	C32	1
C38	C32	30720
C46	C32	2
C59	C32	1
C7	C32	40
C0	C33	2
C10	C33	10
C21	C33	31
C3	C33	1
C31	C33	36
C37	C33	30368
C47	C33	34
C48	C33	12
C71	C33	1
C17	C34	3
