Baseline	Perturbed	Freq
C35	C34	28359
C40	C34	1
C41	C34	34
C7	C34	742
C11	C35	1
C14	C35	1
C17	C35	14
C18	C35	3
C21	C35	7
C25	C35	5
C27	C35	7
C33	C35	1
C34	C35	1
C35	C35	489
C4	C35	2
C41	C35	28412
C56	C35	7
C63	C35	2
C7	C35	14
C14	C36	27
C18	C36	1
C21	C36	1
C25	C36	2861
C35	C36	45
C40	C36	25533
C63	C36	3
C7	C36	62
C15	C37	34
C26	C37	242
C32	C37	1
C44	C37	7104
C45	C37	17822
C50	C37	7
C53	C37	232
C7	C37	528
C10	C38	28
C2	C38	1
C20	C38	4
C21	C38	1
C22	C38	13
C24	C38	270
C26	C38	1
C30	C38	38
C34	C38	2
C36	C38	1
C40	C38	3
C42	C38	37
C43	C38	24493
C49	C38	95
C5	C38	6
C50	C38	1
C54	C38	2
C55	C38	1
C6	C38	1
C61	C38	251
C64	C38	1
C7	C38	36
C15	C39	1
C21	C39	12
C25	C39	1
C26	C39	190
C27	C39	14
C30	C39	43
C32	C39	15
C37	C39	2
C38	C39	1
C45	C39	7
C48	C39	1
C5	C39	3
C50	C39	12431
C54	C39	3
C58	C39	2
C60	C39	4027
C61	C39	1
C67	C39	5
C68	C39	1
C7	C39	319
C10	C4	62460
C20	C4	3937
C21	C4	1
C24	C4	948
C3	C4	2
C30	C4	102
C34	C4	8
C37	C4	3
C42	C4	25877
C43	C4	589
C48	C4	44
C5	C4	1
C6	C4	80
C61	C4	8
C64	C4	2
C7	C4	1
C13	C40	7
C14	C40	26
C17	C40	1
C25	C40	19
C34	C40	1
C37	C40	403
C4	C40	5
C44	C40	2
C47	C40	14923
C48	C40	387
C0	C41	1
C21	C41	1
C31	C41	5
C37	C41	64
C43	C41	1
C48	C41	14310
C54	C41	4
C71	C41	5
C11	C42	8
C17	C42	3
C18	C42	17
C21	C42	3
C28	C42	26
C34	C42	7
C38	C42	2
C4	C42	28
C40	C42	3
C41	C42	2
C46	C42	12757
C51	C42	5
C59	C42	3
C63	C42	1
C7	C42	41
C30	C43	87
C49	C43	12654
C60	C43	3
C17	C44	10
C27	C44	14
C32	C44	3
C40	C44	2
C51	C44	12408
C62	C44	4
C27	C45	31
C33	C45	5
C39	C45	106
C51	C45	2
C52	C45	11878
C10	C46	4
C21	C46	6
C31	C46	6
C37	C46	60
C44	C46	1
C48	C46	7
C54	C46	11160
C66	C46	5
C7	C46	1
C71	C46	116
C1	C47	3
C2	C47	4
C22	C47	293
C23	C47	1
C3	C47	15
C31	C47	1
C43	C47	9
C5	C47	10
C55	C47	11026
C9	C47	2
C15	C48	2
C36	C48	2
C44	C48	1
C45	C48	6
C50	C48	2
C53	C48	11240
C12	C49	1
C13	C49	10
C26	C49	2
C44	C49	4
C53	C49	24
C57	C49	9386
C58	C49	2
C73	C49	660
C14	C5	3
C17	C5	35
C26	C5	9
C27	C5	34558
C30	C5	44
C33	C5	25689
C34	C5	1
C35	C5	137
C39	C5	29924
C45	C5	1
C50	C5	9
C51	C5	2
C52	C5	66
C61	C5	14
C63	C5	1
C7	C5	46
C17	C50	38
C35	C50	87
C41	C50	11
C45	C50	37
C47	C50	1
C56	C50	9754
C63	C50	3
C7	C50	29
C33	C51	9146
C56	C51	11
C32	C52	1
C50	C52	1
C58	C52	9064
C63	C52	5
C7	C52	7
C11	C53	1
C21	C53	1
C28	C53	23
C32	C53	1
C34	C53	3
C38	C53	1
C4	C53	14
C46	C53	20
C59	C53	7598
C17	C54	16
C27	C54	1
C32	C54	4
C34	C54	2
C38	C54	22
C45	C54	4
C51	C54	5
C62	C54	5216
C1	C55	13
C3	C55	50
C5	C55	5
C65	C55	4045
C8	C55	2
C20	C56	14
C23	C56	1
C3	C56	14
C31	C56	2
C34	C56	2
C37	C56	1
C42	C56	1
C6	C56	6
C64	C56	4034
C8	C56	4
C30	C57	102
C48	C57	1
C66	C57	3608
C15	C58	2
C17	C58	1
C26	C58	2
C32	C58	1
C51	C58	2
C67	C58	3518
C7	C58	12
C23	C59	1
C31	C59	1
C7	C59	3
C70	C59	1476
C0	C6	73737
C23	C6	3
C31	C6	144
C37	C6	1
C55	C6	4
C65	C6	1
C71	C6	4
C9	C6	14564
C19	C60	2
C72	C60	731
C8	C60	3
C0	C61	2
C3	C61	5
C71	C61	610
C9	C61	1
C7	C62	1
C74	C62	590
C32	C63	328
C11	C7	63955
C17	C7	2
C18	C7	145
C21	C7	13
C34	C7	75
C38	C7	6
C4	C7	17430
C46	C7	2722
C59	C7	8
C63	C7	4
C69	C7	864
C0	C8	725
C23	C8	27842
C29	C8	3
C31	C8	226
C48	C8	2
C54	C8	1
C64	C8	1
C65	C8	4
C71	C8	2
C9	C8	55284
C10	C9	9
C15	C9	161
C21	C9	1593
C3	C9	141
C30	C9	543
C31	C9	1
C37	C9	15
C43	C9	84
C5	C9	79104
C50	C9	214
C65	C9	2
C67	C9	3
C68	C9	1
C7	C9	69
C71	C9	3
