Baseline	Cells	Largest_Fragment_Fraction	Best_Jaccard	Fragments
C0	131708	0.593213775928569	0.527334944182719	10
C1	116605	0.451370009862356	0.344748080802788	11
C10	66201	0.505808069364511	0.480202492435215	14
C11	64233	0.70711316612956	0.680408664649309	13
C12	59340	0.897168857431749	0.896413537632598	8
C13	55024	0.955692061645827	0.929508254675293	7
C14	55005	0.934315062267067	0.929246903534943	17
C15	53524	0.852346610866153	0.761174605822975	22
C16	50018	0.894098124675117	0.77154391594638	8
C17	49635	0.93286995063967	0.733431540264842	26
C18	47583	0.933337536515142	0.851699140840749	17
C19	46237	0.819927763479464	0.79007585861954	6
C2	104961	0.865521479406637	0.865356588335032	7
C20	45939	0.699971701604301	0.430866529994238	13
C21	44264	0.767485993132116	0.730392156862745	32
C22	43486	0.990548682334544	0.797065245549758	7
C23	43006	0.934962563363252	0.630778884618401	8
C24	42811	0.422298007521431	0.274131918119788	10
C25	41936	0.719310377718428	0.694613949846869	14
C26	41045	0.836667072725058	0.806391771943831	20
C27	40135	0.40179394543416	0.35390611509904	26
C28	40033	0.8296905053331	0.800265028309842	15
C29	39267	0.869075814296992	0.7738497471598	12
C3	99452	0.651570606925954	0.640392141360636	15
C30	38918	0.922657896089213	0.843663361684131	18
C31	38799	0.966184695481842	0.886510901953365	16
C32	37149	0.964494333629438	0.933705112836817	28
C33	34847	0.694493069704709	0.416382781046764	8
C34	34214	0.958730344303501	0.941368919500646	21
C35	32917	0.929458942187927	0.883125505137975	12
C36	31586	0.904577977585006	0.755333491950194	12
C37	31055	0.96502978586379	0.9608528374479	15
C38	30771	0.998570082220272	0.996659098280895	10
C39	30031	0.757783623588958	0.756851137421844	5
C4	86588	0.566452626229963	0.495554477853217	15
C40	29315	0.859252942179771	0.768589997864095	14
C41	28669	0.967944469636192	0.960340531561462	11
C42	28279	0.876056437639238	0.470630699088146	6
C43	27607	0.670445901401818	0.36785515541776	19
C44	25198	0.717596634653544	0.501094637661078	8
C45	18516	0.895441780082091	0.878876225815001	14
C46	16140	0.817905824039653	0.657616817774235	13
C47	14990	0.99072715143429	0.895123862335001	10
C48	14772	0.956471703222312	0.943568852677975	7
C49	13604	0.897383122610997	0.850553891172577	7
C5	83192	0.875829406673719	0.872786948084617	20
C50	13278	0.807877692423558	0.629223369310183	14
C51	12898	0.995115521786323	0.982696577597427	9
C52	11947	0.996568176111158	0.977905544147844	7
C53	11535	0.997745990463806	0.981410420397374	6
C54	11207	0.997590791469617	0.994219653179191	9
C55	11147	0.994437965371849	0.958412588621823	10
C56	9883	0.976930081958919	0.974957083712007	8
C57	9625	0.975272727272727	0.970032034721505	5
C58	9099	0.995274205956699	0.992112182296231	6
C59	7729	0.998706171561651	0.881164383561644	4
C6	80099	0.933032871821121	0.838644881836748	13
C60	6398	0.690215692403876	0.154697680936033	13
C61	5651	0.913289683241904	0.796819515207658	18
C62	5289	0.982605407449423	0.980381060177325	5
C63	4586	0.856083733100741	0.513807093312394	22
C64	4122	0.988112566715187	0.967688287004039	9
C65	4099	0.993413027567699	0.9686013320647	4
C66	3624	0.990618101545254	0.765295246216159	4
C67	3539	0.997174343034756	0.992407199100112	7
C68	2856	0.997899159663866	0.0756469807564698	3
C69	2074	0.95274831243973	0.839422259983008	6
C7	75836	0.67469275805686	0.61275912863319	37
C70	1488	0.852822580645161	0.450319375443577	7
C71	1147	0.967741935483871	0.846681922196796	6
C72	732	0.997267759562842	0.986486486486487	3
C73	674	0.995548961424332	0.0231602926963965	2
C74	591	0.998307952622673	0.993265993265993	2
C8	72416	0.589772978347327	0.577507639884252	10
C9	69857	0.707502469330203	0.701467540946379	6
