Baseline	Perturbed	Freq
C0	C0	50413
C1	C0	47151
C23	C0	2
C31	C0	131
C37	C0	2
C55	C0	8
C71	C0	7
C0	C1	78131
C1	C1	2
C23	C1	41
C31	C1	50
C37	C1	1
C71	C1	2
C9	C1	16358
C14	C10	32
C16	C10	176
C17	C10	46303
C18	C10	515
C21	C10	7755
C25	C10	2
C26	C10	4
C27	C10	1751
C28	C10	6
C32	C10	93
C34	C10	16
C35	C10	1605
C38	C10	2
C4	C10	5
C40	C10	1096
C41	C10	31
C46	C10	13
C50	C10	5
C51	C10	50
C52	C10	1
C56	C10	98
C58	C10	3
C59	C10	2
C63	C10	1
C67	C10	1
C7	C10	234
C14	C11	2993
C15	C11	1
C16	C11	2577
C17	C11	642
C18	C11	278
C20	C11	37
C21	C11	461
C22	C11	4
C25	C11	3
C26	C11	1
C27	C11	29
C28	C11	1
C35	C11	507
C40	C11	20
C41	C11	1
C46	C11	19
C5	C11	81
C50	C11	3
C52	C11	1
C56	C11	1
C60	C11	1
C61	C11	3
C62	C11	1
C7	C11	51166
C13	C12	52586
C15	C12	54
C21	C12	9
C29	C12	1
C30	C12	3
C31	C12	16
C32	C12	1
C36	C12	1436
C53	C12	1
C57	C12	3
C6	C12	7
C63	C12	19
C15	C13	4
C2	C13	10005
C22	C13	43075
C34	C13	1
C37	C13	2
C43	C13	360
C55	C13	12
C61	C13	160
C7	C13	12
C10	C14	2
C12	C14	53238
C26	C14	18
C44	C14	16
C53	C14	1
C63	C14	13
C15	C15	10
C16	C15	44721
C21	C15	94
C26	C15	3
C27	C15	9
C37	C15	1
C5	C15	7564
C60	C15	3
C7	C15	261
C13	C16	2350
C15	C16	45621
C16	C16	1
C21	C16	11
C26	C16	1806
C30	C16	406
C36	C16	12
C43	C16	6
C45	C16	1
C5	C16	407
C57	C16	232
C58	C16	5
C60	C16	1050
C67	C16	2
C7	C16	122
C14	C17	51392
C17	C17	18
C25	C17	26
C27	C17	1
C28	C17	1
C33	C17	1
C40	C17	170
C41	C17	83
C23	C18	309
C31	C18	292
C9	C18	49424
C10	C19	817
C20	C19	1040
C24	C19	17408
C30	C19	25
C36	C19	2
C42	C19	24774
C43	C19	304
C6	C19	4731
C61	C19	24
C64	C19	10
C2	C2	90846
C43	C2	12
C61	C2	8
C11	C20	140
C16	C20	1988
C17	C20	634
C18	C20	44411
C27	C20	1
C28	C20	16
C32	C20	8
C34	C20	2
C38	C20	1
C4	C20	17
C40	C20	1633
C46	C20	118
C63	C20	3
C11	C21	45420
C18	C21	48
C34	C21	19
C38	C21	3
C4	C21	40
C46	C21	2406
C63	C21	2
C69	C21	3
C14	C22	1
C17	C22	156
C26	C22	9
C27	C22	16126
C32	C22	4
C33	C22	24201
C35	C22	112
C39	C22	6827
C51	C22	1
C52	C22	24
C61	C22	14
C63	C22	1
C19	C23	1538
C8	C23	42709
C11	C24	16
C14	C24	276
C17	C24	1
C18	C24	3
C25	C24	3
C27	C24	1
C28	C24	5591
C32	C24	8
C34	C24	8
C4	C24	36152
C41	C24	9
C46	C24	40
C47	C24	41
C51	C24	1
C54	C24	2
C63	C24	499
C69	C24	78
C10	C25	651
C15	C25	2
C20	C25	3820
C22	C25	15
C24	C25	18079
C26	C25	11
C3	C25	1
C30	C25	4
C42	C25	1
C43	C25	18509
C49	C25	16
C5	C25	17
C61	C25	4
C64	C25	1
C7	C25	87
C0	C26	1059
C1	C26	2093
C21	C26	5
C23	C26	99
C3	C26	177
C31	C26	37487
C37	C26	1
C5	C26	1
C55	C26	1
C70	C26	3
C9	C26	48
C19	C27	37911
C72	C27	1
C8	C27	1746
C10	C28	37
C15	C28	1
C21	C28	82
C24	C28	5
C26	C28	3
C27	C28	59
C30	C28	35908
C42	C28	8
C43	C28	1180
C49	C28	279
C5	C28	1461
C50	C28	27
C60	C28	491
C61	C28	1
C66	C28	2
C67	C28	1
C68	C28	1
C7	C28	6
C13	C29	59
C15	C29	3175
C21	C29	5
C29	C29	34126
C32	C29	39
C33	C29	2
C36	C29	1543
C37	C29	1
C60	C29	1
C63	C29	4
C7	C29	3
C1	C3	52632
C23	C3	1671
C3	C3	34121
C31	C3	48
C70	C3	211
C71	C3	12
C12	C30	1
C15	C30	3
C19	C30	6779
C20	C30	14
C21	C30	15
C22	C30	3
C27	C30	2
C29	C30	1
C30	C30	1
C34	C30	38
C37	C30	7
C48	C30	1
C5	C30	3
C50	C30	1
C54	C30	4
C64	C30	10
C65	C30	24
C68	C30	2850
C7	C30	4
C72	C30	1
C8	C30	27907
C12	C31	2
C15	C31	23
C17	C31	34
C21	C31	13
C26	C31	11
C27	C31	4
C28	C31	4
C29	C31	7
C32	C31	35830
C34	C31	43
C35	C31	4
C36	C31	8
C4	C31	3
C40	C31	1
C45	C31	5
C47	C31	2
C50	C31	7
C51	C31	5
C58	C31	5
C60	C31	1
C61	C31	3
C63	C31	6
C7	C31	1033
C74	C31	1
C10	C32	33485
C24	C32	87
C30	C32	372
C42	C32	3042
C43	C32	17
C48	C32	9
C6	C32	3
C13	C33	4
C14	C33	4
C15	C33	20
C20	C33	1
C21	C33	33972
C26	C33	18
C27	C33	280
C29	C33	1
C30	C33	4
C31	C33	47
C32	C33	13
C34	C33	12
C41	C33	1
C48	C33	3
C5	C33	240
C50	C33	193
C52	C33	2
C54	C33	1
C56	C33	9
C61	C33	7
C7	C33	1388
C12	C34	828
C15	C34	49
C16	C34	1
C21	C34	541
C26	C34	34341
C32	C34	12
C34	C34	1
C45	C34	84
C5	C34	3
C54	C34	1
C55	C34	1
C60	C34	9
C7	C34	10
C8	C34	1
C15	C35	2755
C20	C35	1
C29	C35	3480
C32	C35	1
C36	C35	28572
C6	C35	1
C60	C35	3
C14	C36	11
C17	C36	12
C18	C36	746
C21	C36	5
C25	C36	65
