Baseline	Perturbed	Freq
C28	C36	33215
C4	C36	312
C40	C36	158
C46	C36	6
C63	C36	3
C7	C36	154
C11	C37	90
C17	C37	11
C18	C37	50
C21	C37	1
C27	C37	6
C32	C37	363
C34	C37	32802
C38	C37	4
C4	C37	5
C45	C37	1
C46	C37	39
C6	C37	1
C61	C37	2
C63	C37	5
C7	C37	16
C8	C37	37
C17	C38	614
C18	C38	2
C27	C38	6
C32	C38	5
C35	C38	30595
C39	C38	10
C40	C38	235
C41	C38	686
C45	C38	35
C56	C38	109
C61	C38	3
C63	C38	9
C7	C38	13
C14	C39	26
C21	C39	33
C25	C39	30165
C28	C39	297
C40	C39	3
C46	C39	1
C47	C39	2
C7	C39	1129
C10	C4	20
C20	C4	8825
C21	C4	48
C24	C4	101
C54	C4	2
C6	C4	74735
C64	C4	19
C17	C40	3
C21	C40	10
C32	C40	2
C34	C40	12
C38	C40	30727
C46	C40	2
C7	C40	30
C0	C41	1
C1	C41	1
C10	C41	1
C19	C41	1
C21	C41	24
C3	C41	2
C31	C41	29
C37	C41	29969
C43	C41	1
C47	C41	27
C5	C41	29
C65	C41	2
C68	C41	5
C7	C41	2
C71	C41	10
C12	C42	5261
C15	C42	194
C26	C42	4101
C30	C42	17
C32	C42	193
C36	C42	1
C37	C42	2
C44	C42	18082
C45	C42	3
C47	C42	5
C53	C42	2
C55	C42	6
C57	C42	2
C60	C42	418
C61	C42	1
C63	C42	10
C73	C42	671
C14	C43	130
C17	C43	32
C18	C43	36
C21	C43	1
C25	C43	2580
C28	C43	260
C35	C43	24
C40	C43	25189
C51	C43	2
C63	C43	1
C7	C43	392
C11	C44	2
C14	C44	7
C17	C44	14
C18	C44	5
C21	C44	17
C25	C44	11
C35	C44	55
C4	C44	12
C41	C44	27750
C56	C44	7
C62	C44	1
C7	C44	95
C70	C44	1
C15	C45	395
C17	C45	2
C21	C45	16
C26	C45	527
C27	C45	1
C30	C45	16
C32	C45	103
C34	C45	191
C38	C45	2
C43	C45	1
C44	C45	1
C45	C45	1524
C49	C45	3
C5	C45	22
C50	C45	2263
C58	C45	24
C60	C45	4416
C61	C45	1
C67	C45	3
C7	C45	17053
C14	C46	1
C17	C46	1
C27	C46	13
C33	C46	16
C35	C46	1
C39	C46	22757
C52	C46	5
C11	C47	12
C17	C47	26
C18	C47	30
C20	C47	1
C21	C47	233
C28	C47	160
C32	C47	14
C34	C47	1024
C38	C47	21
C4	C47	164
C40	C47	5
C41	C47	8
C46	C47	13201
C50	C47	2
C56	C47	1
C59	C47	2
C61	C47	1
C63	C47	1
C69	C47	2
C7	C47	2225
C70	C47	2
C26	C48	1
C32	C48	1
C44	C48	273
C45	C48	16580
C53	C48	3
C63	C48	71
C11	C49	4
C14	C49	23
C25	C49	19
C27	C49	1
C28	C49	1
C29	C49	1
C37	C49	947
C47	C49	14851
C48	C49	605
C15	C5	15
C21	C5	46
C26	C5	25
C27	C5	1
C3	C5	3
C30	C5	13
C43	C5	19
C5	C5	72862
C50	C5	42
C7	C5	126
C27	C50	14347
C33	C50	54
C34	C50	1
C35	C50	1
C39	C50	232
C5	C50	2
C52	C50	8
C7	C50	106
C14	C51	3
C17	C51	5
C21	C51	28
C25	C51	1
C27	C51	3601
C30	C51	58
C32	C51	8
C37	C51	1
C5	C51	21
C50	C51	10727
C60	C51	1
C62	C51	1
C67	C51	2
C7	C51	40
C0	C52	1
C1	C52	1
C10	C52	5
C2	C52	1
C3	C52	4
C31	C52	6
C37	C52	118
C43	C52	1
C47	C52	52
C48	C52	14129
C54	C52	8
C66	C52	4
C8	C52	1
C17	C53	22
C18	C53	3
C27	C53	18
C32	C53	7
C40	C53	2
C45	C53	1
C51	C53	12835
C62	C53	89
C7	C53	21
C30	C54	650
C43	C54	99
C49	C54	12208
C21	C55	1
C27	C55	15
C33	C55	5
C39	C55	205
C52	C55	11906
C7	C55	2
C12	C56	1
C15	C56	6
C26	C56	5
C36	C56	3
C37	C56	1
C45	C56	175
C50	C56	1
C53	C56	11509
C0	C57	6
C1	C57	17
C2	C57	19
C22	C57	348
C3	C57	12
C31	C57	3
C43	C57	3
C5	C57	10
C55	C57	11085
C9	C57	1
C11	C58	1
C21	C58	2
C3	C58	2
C44	C58	1
C47	C58	2
C48	C58	23
C49	C58	1
C50	C58	3
C54	C58	11180
C7	C58	2
C70	C58	1
C27	C59	1
C33	C59	10566
C21	C6	9
C23	C6	670
C3	C6	64800
C31	C6	606
C5	C6	440
C55	C6	3
C65	C6	1
C70	C6	1
C71	C6	6
C14	C60	5
C17	C60	6
C25	C60	9051
C27	C60	2
C28	C60	444
C4	C60	74
C40	C60	796
C41	C60	89
C45	C60	1
C63	C60	1
C17	C61	1
C35	C61	9
C41	C61	10
C56	C61	9655
C13	C62	8
C15	C62	22
C53	C62	19
C57	C62	9387
C73	C62	3
C32	C63	2
C58	C63	9056
C63	C63	6
C7	C63	21
C11	C64	6
C17	C64	2
C18	C64	693
C21	C64	3
C28	C64	22
C32	C64	3
C34	C64	1
C38	C64	1
C4	C64	275
C46	C64	20
C47	C64	4
C51	C64	1
C59	C64	7719
C11	C65	7153
C18	C65	5
C4	C65	342
C46	C65	33
C63	C65	1
C69	C65	1
C11	C66	3
C12	C66	7
C13	C66	5
C14	C66	98
C15	C66	1107
C16	C66	508
C17	C66	1014
C18	C66	33
C25	C66	3
C26	C66	21
C28	C66	5
C29	C66	1
C32	C66	93
C33	C66	2
C34	C66	2
C35	C66	3
C36	C66	3
C4	C66	4
C40	C66	1
C44	C66	1
C45	C66	104
C51	C66	1
C56	C66	3
C58	C66	6
C60	C66	1
C61	C66	1
C63	C66	3926
C7	C66	25
C26	C67	137
C44	C67	6823
C45	C67	1
C10	C68	26
C24	C68	20
C30	C68	48
C42	C68	22
C43	C68	6504
C54	C68	2
C6	C68	1
C64	C68	1
C24	C69	6503
C6	C69	48
C11	C7	11356
C17	C7	4
C18	C7	724
C28	C7	10
C34	C7	26
C4	C7	49048
C46	C7	242
C47	C7	4
C59	C7	6
C63	C7	2
C69	C7	14
C13	C70	12
C15	C70	64
C2	C70	354
C21	C70	1
C22	C70	6
C29	C70	357
C32	C70	1
C34	C70	1
C36	C70	1
C43	C70	1
C55	C70	23
C57	C70	1
C61	C70	5161
C7	C70	4
C10	C71	5442
C20	C71	26
C24	C71	6
C30	C71	1
C6	C71	506
C17	C72	3
C27	C72	2
C32	C72	3
C38	C72	2
C45	C72	1
C62	C72	5197
C7	C72	1
C27	C73	9
C30	C73	1057
C66	C73	3590
C67	C73	1
C10	C74	10
C14	C74	1
C16	C74	46
C17	C74	74
C20	C74	2
C21	C74	9
C24	C74	1
C26	C74	1
C27	C74	3849
C30	C74	18
C32	C74	10
C34	C74	2
C35	C74	1
C36	C74	2
C38	C74	8
C40	C74	6
C43	C74	1
C49	C74	179
C5	C74	6
C50	C74	2
C6	C74	3
C60	C74	3
C61	C74	254
C7	C74	8
C0	C75	8
C1	C75	17
C19	C75	5
C3	C75	60
C31	C75	3
C5	C75	5
C65	C75	4072
C8	C75	7
C0	C76	5
C10	C76	9
C20	C76	14
C23	C76	5
C29	C76	1
C3	C76	11
C31	C76	1
C34	C76	7
C44	C76	1
C6	C76	3
C64	C76	4073
C66	C76	28
C8	C76	2
C10	C77	1
C2	C77	3716
C22	C77	35
C43	C77	1
C61	C77	3
C15	C78	1
C17	C78	1
C26	C78	2
C32	C78	2
C50	C78	2
C51	C78	2
C67	C78	3529
C7	C78	7
C1	C79	1
C15	C79	2
C25	C79	1
C29	C79	1288
C3	C79	6
C31	C79	9
C36	C79	3
C5	C79	4
C55	C79	7
C7	C79	9
C70	C79	1269
C0	C8	2029
C1	C8	14641
C23	C8	40209
C29	C8	3
C3	C8	4
C31	C8	34
C37	C8	1
C48	C8	2
C55	C8	1
C64	C8	1
C9	C8	4023
C11	C80	30
C12	C80	2
C14	C80	2
C18	C80	1
C20	C80	2
C21	C80	1
C25	C80	6
C31	C80	37
C34	C80	5
C4	C80	135
C6	C80	57
C63	C80	2
C69	C80	1976
C0	C81	55
C1	C81	49
C3	C81	56
C64	C81	1
C71	C81	1110
C9	C81	3
C2	C82	20
C43	C82	6
C49	C82	918
C19	C83	3
C72	C83	730
C8	C83	5
C32	C84	1
C7	C84	2
C74	C84	590
C32	C85	329
C41	C85	1
C10	C9	25695
C20	C9	32156
C21	C9	813
C24	C9	601
C3	C9	193
C30	C9	317
C37	C9	1
C42	C9	432
C43	C9	582
C5	C9	14
C54	C9	7
C6	C9	3
C64	C9	6
C7	C9	27
C8	C9	1
