Baseline	Perturbed	Freq
C0	C0	23671
C1	C0	106568
C23	C0	7817
C29	C0	1
C3	C0	1796
C31	C0	749
C37	C0	4
C48	C0	1
C55	C0	11
C65	C0	1
C70	C0	1
C71	C0	4
C0	C1	104039
C1	C1	31
C23	C1	9
C31	C1	71
C37	C1	2
C55	C1	1
C64	C1	1
C65	C1	32
C71	C1	1
C9	C1	11739
C14	C10	17
C15	C10	69
C16	C10	22
C17	C10	5
C18	C10	308
C20	C10	51
C21	C10	8
C22	C10	5
C24	C10	1
C25	C10	25
C26	C10	87
C27	C10	15
C28	C10	43
C32	C10	16
C34	C10	2
C35	C10	88
C38	C10	39
C40	C10	1425
C43	C10	16
C46	C10	20
C5	C10	59
C50	C10	53
C52	C10	1
C58	C10	1
C60	C10	14
C61	C10	16
C62	C10	3
C7	C10	68410
C14	C11	50
C16	C11	530
C17	C11	48370
C18	C11	407
C21	C11	7635
C27	C11	1394
C28	C11	10
C32	C11	72
C34	C11	16
C35	C11	1710
C37	C11	19
C38	C11	1
C4	C11	8
C40	C11	2967
C41	C11	14
C46	C11	9
C50	C11	5
C51	C11	20
C52	C11	1
C56	C11	2
C58	C11	3
C59	C11	2
C62	C11	1
C63	C11	174
C7	C11	543
C10	C12	23191
C19	C12	6
C20	C12	33972
C21	C12	809
C24	C12	177
C26	C12	1
C3	C12	160
C30	C12	53
C37	C12	1
C42	C12	3
C43	C12	822
C45	C12	1
C5	C12	11
C54	C12	7
C6	C12	9
C64	C12	45
C68	C12	2
C7	C12	24
C8	C12	2
C13	C13	1103
C15	C13	49717
C16	C13	1
C20	C13	4
C21	C13	33
C26	C13	3277
C29	C13	40
C30	C13	522
C36	C13	301
C43	C13	2
C44	C13	1
C45	C13	1
C5	C13	1020
C57	C13	8
C58	C13	1
C60	C13	1439
C61	C13	1
C67	C13	2
C7	C13	177
C14	C14	54784
C17	C14	24
C21	C14	1
C25	C14	44
C27	C14	2
C28	C14	15
C32	C14	1
C33	C14	1
C4	C14	12
C40	C14	163
C41	C14	63
C45	C14	17
C63	C14	229
C7	C14	126
C12	C15	54379
C24	C15	1
C26	C15	680
C28	C15	1
C32	C15	1
C44	C15	36
C6	C15	3
C63	C15	34
C8	C15	3
