Baseline	Perturbed	Freq
C13	C16	53827
C15	C16	51
C29	C16	480
C30	C16	1
C31	C16	17
C32	C16	1
C36	C16	705
C57	C16	3
C6	C16	7
C63	C16	16
C70	C16	1
C16	C17	47161
C17	C17	7
C18	C17	3
C21	C17	152
C26	C17	2
C5	C17	2655
C60	C17	1
C7	C17	524
C15	C18	4
C2	C18	5513
C22	C18	43465
C34	C18	1
C37	C18	3
C43	C18	474
C49	C18	1
C55	C18	80
C61	C18	220
C64	C18	18
C7	C18	4
C10	C19	33
C20	C19	26
C21	C19	90
C22	C19	1
C24	C19	3
C27	C19	208
C3	C19	1
C30	C19	28619
C32	C19	1
C43	C19	19240
C49	C19	206
C5	C19	739
C50	C19	3
C55	C19	1
C60	C19	227
C61	C19	4
C66	C19	1
C7	C19	24
C8	C19	2
C1	C2	9234
C23	C2	3189
C3	C2	95538
C31	C2	1
C48	C2	1
C5	C2	194
C55	C2	6
C70	C2	1
C71	C2	2
C10	C20	1600
C20	C20	1661
C24	C20	17388
C30	C20	18
C36	C20	2
C42	C20	25078
C43	C20	351
C6	C20	3081
C61	C20	22
C64	C20	9
C11	C21	69
C16	C21	1548
C17	C21	108
C18	C21	44513
C27	C21	1
C28	C21	22
C32	C21	2
C4	C21	99
C40	C21	167
C46	C21	17
C63	C21	16
C19	C22	9745
C72	C22	1
C8	C22	35293
C12	C23	7
C13	C23	2
C14	C23	2
C15	C23	872
C16	C23	549
C17	C23	696
C18	C23	30
C21	C23	25
C26	C23	777
C27	C23	18
C28	C23	66
C29	C23	24
C30	C23	1
C32	C23	36478
C33	C23	4
C34	C23	282
C35	C23	1
C36	C23	7
C4	C23	2
C40	C23	4
C44	C23	1
C45	C23	2
C5	C23	2
C50	C23	29
C51	C23	2
C56	C23	1
C58	C23	17
C60	C23	16
C61	C23	10
C62	C23	2
C63	C23	2793
C7	C23	450
C73	C23	1
C10	C24	36403
C20	C24	1
C24	C24	2453
C30	C24	770
C42	C24	3157
C43	C24	6
C48	C24	46
C64	C24	9
C13	C25	6
C14	C25	7
C15	C25	14
C16	C25	134
C21	C25	34683
C26	C25	430
C27	C25	110
C29	C25	6
C3	C25	29
C31	C25	62
C32	C25	35
C34	C25	73
C36	C25	8
C37	C25	1
C4	C25	4
C43	C25	2
C45	C25	451
C46	C25	19
C5	C25	2726
C50	C25	200
C52	C25	2
C55	C25	1
C61	C25	6
C68	C25	1
C7	C25	3616
C0	C26	954
C1	C26	637
C21	C26	5
C23	C26	162
C3	C26	1783
C31	C26	37506
C37	C26	1
C5	C26	3
C9	C26	26
C14	C27	11
C17	C27	3
C21	C27	20
C25	C27	39077
C27	C27	1
C28	C27	252
C35	C27	2
C4	C27	1
C40	C27	997
C41	C27	4
C45	C27	2
C46	C27	1
C47	C27	2
C56	C27	1
C63	C27	7
C7	C27	19
C19	C28	36400
C34	C28	1
C48	C28	1
C64	C28	3
C65	C28	5
C68	C28	4
C72	C28	1
C8	C28	3813
C12	C29	293
C15	C29	208
C16	C29	1
C22	C29	1
C26	C29	34989
C30	C29	17
C32	C29	90
C44	C29	70
C45	C29	2
C53	C29	3
C55	C29	1
C60	C29	388
C63	C29	1
C7	C29	24
C73	C29	1
C2	C3	99342
C22	C3	1
C29	C3	1
C37	C3	4
C43	C3	16
C49	C3	4
C55	C3	3
C61	C3	96
C64	C3	1
C17	C30	4
C21	C30	9
C26	C30	1
C27	C30	34067
C30	C30	67
C33	C30	1242
C35	C30	4
C39	C30	256
C41	C30	1
C50	C30	102
C52	C30	42
C7	C30	68
C10	C31	2
C11	C31	74
C17	C31	14
C18	C31	8
C21	C31	4
C27	C31	3
C32	C31	19
C34	C31	33690
C38	C31	3
C4	C31	53
C41	C31	1
C45	C31	1
C46	C31	34
C59	C31	1
C6	C31	1
C60	C31	3
C61	C31	4
C63	C31	11
C69	C31	14
C7	C31	149
C8	C31	1
C15	C32	3
C19	C32	68
C21	C32	12
C22	C32	1
C27	C32	2
C29	C32	3
C34	C32	32
C37	C32	1
C44	C32	2
C5	C32	1
C54	C32	1
C60	C32	1
C64	C32	8
C65	C32	8
C68	C32	7
C7	C32	5
C8	C32	33240
C17	C33	4
C26	C33	3
C27	C33	51
C33	C33	32249
C34	C33	13
C35	C33	9
C39	C33	52
C63	C33	1
C14	C34	1
C17	C34	38
C27	C34	250
C33	C34	1345
C35	C34	426
C39	C34	29722
C41	C34	2
C52	C34	102
C56	C34	1
C61	C34	13
C11	C35	1
C17	C35	1
C21	C35	2
C32	C35	1
C34	C35	4
C38	C35	30714
C62	C35	3
C7	C35	1
C12	C36	4651
C26	C36	593
C32	C36	9
C44	C36	25080
C45	C36	302
C53	C36	1
C60	C36	1
C63	C36	3
C73	C36	5
C0	C37	4
C10	C37	1
C21	C37	29
C24	C37	1
C3	C37	3
C31	C37	25
C37	C37	30364
C43	C37	1
C47	C37	6
C48	C37	108
C5	C37	25
C54	C37	7
C68	C37	5
C7	C37	1
C71	C37	10
C8	C37	1
C17	C38	111
C18	C38	2
C32	C38	1
C35	C38	30228
C40	C38	51
C41	C38	44
C45	C38	1
C56	C38	54
C63	C38	4
C7	C38	29
C11	C39	2
C14	C39	10
C17	C39	17
C18	C39	4
C21	C39	57
C25	C39	72
C28	C39	2
C32	C39	1
C34	C39	2
C35	C39	425
C4	C39	28
C41	C39	28521
C45	C39	34
C51	C39	4
C56	C39	24
C6	C39	1
C62	C39	1
C63	C39	29
C7	C39	104
C70	C39	1
C11	C4	56953
C17	C4	4
C18	C4	1048
C21	C4	11
C34	C4	51
C38	C4	1
C4	C4	36729
C46	C4	2315
C59	C4	69
C63	C4	2
C69	C4	14
C14	C40	29
C17	C40	3
C18	C40	99
C25	C40	2501
C28	C40	2
C32	C40	3
C40	C40	23176
C51	C40	2
C63	C40	28
C10	C41	18
C20	C41	2229
C24	C41	21383
C43	C41	142
C64	C41	3
C26	C42	7
C44	C42	3
C45	C42	17519
C53	C42	17
C15	C43	3
C21	C43	28
C25	C43	1
C26	C43	189
C27	C43	4
C30	C43	53
C32	C43	12
C37	C43	2
C43	C43	1
C44	C43	1
C45	C43	3
C48	C43	1
C5	C43	26
C50	C43	12832
C54	C43	1
C60	C43	4296
C61	C43	1
C7	C43	71
C13	C44	57
C14	C44	18
C25	C44	1
C27	C44	1
C34	C44	1
C37	C44	614
C4	C44	9
C40	C44	1
C44	C44	2
C47	C44	14969
C48	C44	558
C57	C44	1
C69	C44	3
C11	C45	1
C16	C45	1
C17	C45	9
C18	C45	1023
C21	C45	18
C28	C45	36
C34	C45	33
C38	C45	2
C4	C45	252
C40	C45	5
C41	C45	6
C46	C45	13637
C51	C45	3
C59	C45	4
C7	C45	911
C14	C46	8
C17	C46	3
C25	C46	203
C28	C46	15233
C4	C46	39
C40	C46	21
C41	C46	3
C63	C46	114
C7	C46	1
C10	C47	116
C13	C47	2
C20	C47	4
C24	C47	60
C30	C47	7710
C42	C47	41
C43	C47	6327
C54	C47	2
C61	C47	1
C64	C47	1
C21	C48	1
C31	C48	4
C37	C48	10
C48	C48	14049
C54	C48	8
C8	C48	1
C27	C49	48
C30	C49	475
C43	C49	97
C49	C49	12481
C60	C49	6
C0	C5	2990
C1	C5	88
C23	C5	31824
C29	C5	3
C31	C5	358
C48	C5	3
C64	C5	1
C65	C5	5
C71	C5	2
C9	C5	58090
C17	C50	15
C18	C50	3
C27	C50	18
C32	C50	3
C40	C50	2
C45	C50	1
C51	C50	12864
C52	C50	3
C59	C50	2
C62	C50	84
C7	C50	14
C12	C51	9
C15	C51	123
C26	C51	1
C36	C51	2
C44	C51	1
C45	C51	178
C53	C51	11501
C21	C52	2
C27	C52	2
C33	C52	5
C52	C52	11796
C10	C53	1
C11	C53	1
C21	C53	471
C37	C53	3
C47	C53	5
C48	C53	2
C50	C53	3
C54	C53	11175
C7	C53	1
C70	C53	1
C8	C53	1
C0	C54	4
C1	C54	7
C2	C54	5
C22	C54	11
C23	C54	1
C3	C54	11
C31	C54	2
C43	C54	85
C44	C54	1
C5	C54	10
C55	C54	11022
C9	C54	2
C17	C55	90
C35	C55	18
C41	C55	7
C56	C55	9800
C63	C55	1
C11	C56	1
C13	C56	1
C14	C56	1
C17	C56	4
C28	C56	1
C32	C56	1
C34	C56	1
C4	C56	114
C58	C56	9075
C59	C56	1
C63	C56	609
C7	C56	32
C13	C57	19
C15	C57	26
C53	C57	13
C57	C57	9613
C58	C57	2
C11	C58	7110
C18	C58	1
C4	C58	769
C46	C58	33
C69	C58	1
C11	C59	2
C17	C59	2
C18	C59	7
C21	C59	3
C28	C59	8
C32	C59	3
C4	C59	111
C46	C59	21
C59	C59	7648
C10	C6	148
C20	C6	7983
C21	C6	75
C24	C6	1339
C43	C6	1
C54	C6	4
C6	C6	76873
C64	C6	20
C17	C60	13
C21	C60	1
C27	C60	1
C32	C60	1
C38	C60	3
C45	C60	1
C62	C60	5195
C7	C60	1
C2	C61	91
C21	C61	7
C35	C61	5
C55	C61	21
C61	C61	4998
C10	C62	4678
C20	C62	1
C24	C62	2
C6	C62	113
C10	C63	4
C14	C63	1
C16	C63	64
C17	C63	82
C20	C63	3
C21	C63	19
C24	C63	2
C27	C63	3919
C30	C63	11
C32	C63	4
C34	C63	2
C35	C63	1
C38	C63	8
C40	C63	6
C43	C63	1
C5	C63	12
C50	C63	2
C6	C63	4
C60	C63	3
C61	C63	257
C63	C63	1
C7	C63	9
C27	C64	9
C30	C64	590
C48	C64	1
C66	C64	3623
C67	C64	1
C1	C65	11
C19	C65	5
C3	C65	56
C31	C65	1
C5	C65	4
C65	C65	4048
C8	C65	11
C10	C66	6
C20	C66	4
C3	C66	5
C6	C66	1
C64	C66	4002
C8	C66	6
C17	C67	1
C26	C67	2
C32	C67	2
C5	C67	2
C50	C67	2
C51	C67	2
C67	C67	3533
C7	C67	3
C19	C68	10
C21	C68	1
C37	C68	1
C68	C68	2837
C8	C68	40
C11	C69	11
C18	C69	1
C34	C69	3
C4	C69	136
C6	C69	6
C63	C69	504
C69	C69	1910
C15	C7	1
C16	C7	7
C21	C7	19
C27	C7	11
C3	C7	11
C30	C7	11
C43	C7	20
C5	C7	75700
C50	C7	47
C60	C7	2
C67	C7	3
C7	C7	162
C1	C70	1
C23	C70	1
C3	C70	33
C31	C70	2
C5	C70	3
C7	C70	3
C70	C70	1483
C0	C71	46
C1	C71	28
C23	C71	3
C3	C71	26
C64	C71	1
C71	C71	1128
C2	C72	10
C22	C72	1
C43	C72	3
C49	C72	912
C19	C73	3
C72	C73	730
C8	C73	2
C12	C74	1
C13	C74	1
C26	C74	6
C73	C74	664
C32	C75	1
C7	C75	2
C74	C75	591
C14	C76	1
C32	C76	345
C41	C76	1
C11	C8	8
C14	C8	65
C17	C8	7
C18	C8	126
C21	C8	33
C25	C8	12
C28	C8	24342
C32	C8	7
C34	C8	7
C39	C8	1
C4	C8	48222
C40	C8	330
C41	C8	2
C46	C8	34
C47	C8	8
C51	C8	1
C54	C8	2
C59	C8	2
C63	C8	3
C69	C8	132
C7	C8	328
C13	C9	6
C15	C9	2433
C21	C9	1
C24	C9	1
C29	C9	38709
C31	C9	1
C32	C9	39
C33	C9	1
C36	C9	30561
C37	C9	25
C48	C9	1
C60	C9	1
C61	C9	2
C63	C9	6
C73	C9	3
