Baseline	Cells	Largest_Fragment_Fraction	Best_Jaccard	Fragments
C0	131708	0.78992164485073	0.724530798426129	7
C1	116605	0.91392307362463	0.707336337871115	9
C10	66201	0.54988595338439	0.501121925030629	13
C11	64233	0.886662618903056	0.545124764302191	12
C12	59340	0.916397034041119	0.90482370754921	6
C13	55024	0.978245856353591	0.955972720491599	10
C14	55005	0.995982183437869	0.983501786259268	15
C15	53524	0.928873028921605	0.808972126852922	13
C16	50018	0.942880562997321	0.883793710880402	11
C17	49635	0.974513951848494	0.741552707426259	26
C18	47583	0.935481159237543	0.896860896196003	16
C19	46237	0.787248307632416	0.727054828722661	7
C2	104961	0.94646583016549	0.945331011447658	5
C20	45939	0.739502383595638	0.476713020782173	12
C21	44264	0.783548707753479	0.66433620012642	32
C22	43486	0.999517085958699	0.872721066580997	8
C23	43006	0.73998976886946	0.304401890077095	8
C24	42811	0.499474434140758	0.473043824524921	13
C25	41936	0.931824685234643	0.90332647541552	9
C26	41045	0.852454622974784	0.830205243801163	16
C27	40135	0.848810265354429	0.812453793136343	22
C28	40033	0.608048360102915	0.376821273964131	14
C29	39267	0.985789594315838	0.535038978271687	9
C3	99452	0.960644330933516	0.852408993576017	13
C30	38918	0.73536666837967	0.4791555049558	15
C31	38799	0.966674398824712	0.885201793721973	13
C32	37149	0.981937602627258	0.831995255907308	27
C33	34847	0.925445518982983	0.921926815323042	7
C34	34214	0.984684632021979	0.973305598890622	18
C35	32917	0.918309688003159	0.910098151381947	12
C36	31586	0.967548914075856	0.419707477854838	7
C37	31055	0.977749154725487	0.970654050252541	16
C38	30771	0.998147606512626	0.997726091476091	8
C39	30031	0.989710632346575	0.922785556831941	4
C4	86588	0.556913198133691	0.430407540298827	17
C40	29315	0.790585024731366	0.7246576199112	14
C41	28669	0.994837629495274	0.967239800590091	13
C42	28279	0.886806464160685	0.4784873404438	4
C43	27607	0.696924693012642	0.332895010035297	19
C44	25198	0.99531708865783	0.815265091180964	11
C45	18516	0.946154677036077	0.944777004799655	16
C46	16140	0.844919454770756	0.739373237909347	11
C47	14990	0.998599066044029	0.920829232283465	5
C48	14772	0.951056051990252	0.949513381995134	12
C49	13604	0.917450749779477	0.877090653548841	5
C5	83192	0.909943263775363	0.906738854418705	18
C50	13278	0.966410604006627	0.714039285515553	11
C51	12898	0.997363932392619	0.986276163459327	8
C52	11947	0.987360843726458	0.986617597858816	7
C53	11535	0.997052449068054	0.970630432947928	5
C54	11207	0.997144641741769	0.955454856361149	9
C55	11147	0.98878622050776	0.976608187134503	10
C56	9883	0.991601740362238	0.98009800980098	7
C57	9625	0.998753246753247	0.992565823438307	4
C58	9099	0.997362347510716	0.919918905220476	6
C59	7729	0.989519989649372	0.96981993406036	8
C6	80099	0.959724840509869	0.857297393748118	11
C60	6398	0.671459831197249	0.218882152137362	14
C61	5651	0.884445230932578	0.865454545454545	15
C62	5289	0.982227264133106	0.97834274952919	7
C63	4586	0.609027474923681	0.0757552983616414	22
C64	4122	0.970887918486172	0.965733590733591	14
C65	4099	0.98755794096121	0.966802006209697	6
C66	3624	0.999724061810154	0.857514792899408	2
C67	3539	0.998304605820853	0.994370954123276	4
C68	2856	0.993347338935574	0.975584594222834	6
C69	2074	0.92092574734812	0.69835466179159	6
C7	75836	0.902078168679783	0.874305067416448	32
C70	1488	0.996639784946237	0.968647942521228	6
C71	1147	0.983435047951177	0.90167865707434	6
C72	732	0.997267759562842	0.990502035278155	3
C73	674	0.985163204747775	0.973607038123167	5
C74	591	1	0.994949494949495	1
C8	72416	0.487364670790985	0.458034200989376	14
C9	69857	0.831555892752337	0.552548724924142	4
