Baseline	Perturbed	Freq
C2	C0	104937
C22	C0	3747
C37	C0	2
C49	C0	2
C55	C0	13
C61	C0	1658
C1	C1	22315
C3	C1	87397
C5	C1	174
C70	C1	4
C71	C1	12
C14	C10	127
C15	C10	10
C16	C10	472
C17	C10	37
C18	C10	421
C20	C10	43
C21	C10	250
C25	C10	1551
C26	C10	3
C27	C10	77
C28	C10	47
C32	C10	2
C34	C10	229
C35	C10	83
C37	C10	1
C38	C10	17
C40	C10	80
C41	C10	11
C46	C10	446
C5	C10	24
C50	C10	290
C51	C10	109
C52	C10	1
C60	C10	1
C61	C10	2
C62	C10	10
C67	C10	2
C7	C10	64584
C70	C10	1
C8	C10	1
C0	C11	2390
C23	C11	33
C31	C11	144
C48	C11	1
C55	C11	1
C9	C11	65921
C14	C12	4
C17	C12	91
C21	C12	5
C26	C12	9
C27	C12	34000
C33	C12	3692
C35	C12	134
C39	C12	29953
C51	C12	2
C52	C12	83
C61	C12	14
C63	C12	1
C7	C12	49
C10	C13	36714
C20	C13	703
C24	C13	2010
C30	C13	515
C42	C13	24515
C43	C13	56
C48	C13	40
C6	C13	31
C11	C14	61586
C18	C14	55
C34	C14	28
C38	C14	3
C4	C14	372
C46	C14	1670
C63	C14	3
C69	C14	4
C0	C15	653
C1	C15	7099
C23	C15	42684
C29	C15	3
C3	C15	9159
C31	C15	64
C37	C15	2
C48	C15	3
C55	C15	2
C70	C15	4
C71	C15	5
C9	C15	3881
C13	C16	54958
C15	C16	4299
C21	C16	12
C29	C16	171
C30	C16	2
C32	C16	2
C36	C16	1226
C53	C16	1
C57	C16	12
C58	C16	4
C6	C16	7
C63	C16	22
C67	C16	1
C7	C16	3
C14	C17	26
C15	C17	149
C16	C17	483
C17	C17	48372
C18	C17	1335
C21	C17	153
C25	C17	1
C26	C17	7
C27	C17	54
C28	C17	2
C32	C17	165
C33	C17	2
C34	C17	18
C35	C17	1925
C38	C17	10
C4	C17	3
C40	C17	430
C41	C17	8
C46	C17	15
C50	C17	1
C51	C17	47
C56	C17	16
C58	C17	1
C61	C17	3
C63	C17	3065
C7	C17	435
C14	C18	54576
C21	C18	60
C25	C18	43
C27	C18	2
C28	C18	1
C4	C18	2
C40	C18	210
C41	C18	70
C45	C18	17
C51	C18	1
C63	C18	125
C12	C19	53371
C26	C19	144
C28	C19	1
C32	C19	2
C44	C19	67
C45	C19	1
C6	C19	3
C63	C19	49
C0	C2	108661
C1	C2	59
C23	C2	72
C31	C2	212
C64	C2	2
C71	C2	9
C9	C2	42
C11	C20	182
C16	C20	3696
C17	C20	138
C18	C20	45440
C21	C20	7
C27	C20	1
C28	C20	1
C32	C20	3
C34	C20	5
C4	C20	266
C40	C20	803
C46	C20	22
C59	C20	9
C63	C20	53
C13	C21	31
C15	C21	44139
C16	C21	2
C21	C21	7
C26	C21	1089
C29	C21	2
C30	C21	435
C32	C21	2
C36	C21	33
C43	C21	3
C45	C21	2
C5	C21	489
C57	C21	7
C58	C21	1
C60	C21	79
C67	C21	1
C7	C21	456
C19	C22	44444
C48	C22	1
C65	C22	3
C66	C22	1
C72	C22	1
C8	C22	2232
C15	C23	15
C16	C23	44847
C17	C23	1
C21	C23	236
C27	C23	5
C38	C23	1
C5	C23	56
C61	C23	2
C7	C23	109
C14	C24	3
C15	C24	34
C16	C24	168
C17	C24	173
C20	C24	1
C21	C24	41951
C25	C24	2
C26	C24	207
C27	C24	1372
C29	C24	1
C30	C24	1
C31	C24	6
C32	C24	57
C34	C24	7
C35	C24	2
C36	C24	5
C37	C24	18
C41	C24	1
C45	C24	437
C46	C24	1
C5	C24	25
C50	C24	127
C51	C24	7
C52	C24	1
C54	C24	1
C58	C24	1
C59	C24	1
C61	C24	34
C7	C24	442
C8	C24	2
C0	C25	427
C1	C25	2506
C21	C25	80
C23	C25	54
C29	C25	1
C3	C25	2465
C31	C25	38246
C5	C25	32
C9	C25	11
C14	C26	24
C17	C26	17
C18	C26	116
C21	C26	16
C25	C26	251
C28	C26	39350
C32	C26	1
C4	C26	1604
C40	C26	355
C41	C26	27
C46	C26	119
C47	C26	5
C50	C26	2
C63	C26	3
C7	C26	391
C10	C27	20
C15	C27	3
C16	C27	6
C17	C27	4
C20	C27	1
C21	C27	94
C24	C27	2
C27	C27	3871
C30	C27	36220
C32	C27	4
C34	C27	1
C37	C27	1
C42	C27	8
C43	C27	99
C49	C27	67
C5	C27	483
C50	C27	10
C6	C27	2
C60	C27	9
C61	C27	4
C66	C27	9
C67	C27	4
C7	C27	21
C15	C28	4
C2	C28	7
C22	C28	39681
C31	C28	1
C34	C28	1
C43	C28	444
C5	C28	1
C55	C28	20
C61	C28	215
C7	C28	59
C12	C29	1
C13	C29	1
C14	C29	1
C15	C29	44
C17	C29	18
C21	C29	10
C26	C29	32
C27	C29	7
C28	C29	1
C29	C29	7
C32	C29	36244
C34	C29	466
C35	C29	1
C38	C29	1
C44	C29	1
C45	C29	1
C50	C29	17
C51	C29	3
C58	C29	5
C60	C29	6
C61	C29	8
C62	C29	2
C63	C29	8
C7	C29	3016
C74	C29	1
C0	C3	19531
C1	C3	84568
C23	C3	153
C29	C3	1
C31	C3	97
C37	C3	2
C55	C3	10
C70	C3	1
C71	C3	19
C14	C30	2
C17	C30	3
C25	C30	37587
C27	C30	1
C28	C30	282
C33	C30	1
C35	C30	2
C39	C30	10
C4	C30	7
C40	C30	893
C41	C30	50
C45	C30	2
C47	C30	2
C56	C30	1
C63	C30	119
C12	C31	960
C15	C31	74
C21	C31	95
C26	C31	31390
C27	C31	1
C30	C31	8
C32	C31	36
C34	C31	1
C44	C31	1
C45	C31	40
C5	C31	13
C50	C31	2
C60	C31	93
C7	C31	3748
C10	C32	2
C11	C32	32
C14	C32	1
C17	C32	5
C18	C32	6
C27	C32	7
C28	C32	72
C32	C32	11
C34	C32	32955
C38	C32	4
C4	C32	89
C46	C32	30
C54	C32	15
C59	C32	1
C6	C32	6
C63	C32	15
C69	C32	1201
C7	C32	7
C12	C33	4999
C13	C33	4
C15	C33	194
C26	C33	7656
C29	C33	20
C30	C33	17
C32	C33	201
C36	C33	1
C44	C33	18009
C45	C33	2
C53	C33	2
C55	C33	2
C57	C33	2
C60	C33	69
C63	C33	18
C73	C33	672
C27	C34	425
C33	C34	31140
C35	C34	8
C39	C34	4
C56	C34	11
C10	C35	1035
C20	C35	111
C24	C35	23846
C30	C35	11
C36	C35	2
C42	C35	3567
C43	C35	23
C48	C35	1
C6	C35	2776
C61	C35	23
C17	C36	160
C18	C36	2
C27	C36	5
C32	C36	1
C33	C36	4
C35	C36	30604
C40	C36	35
C41	C36	279
C51	C36	1
C56	C36	8
C63	C36	6
C7	C36	16
C21	C37	5
C34	C37	8
C38	C37	30729
C46	C37	2
C50	C37	3
C62	C37	3
C7	C37	31
C0	C38	2
C10	C38	9
C21	C38	28
C3	C38	2
C31	C38	18
C37	C38	30029
C47	C38	8
C48	C38	323
C50	C38	1
C54	C38	18
C7	C38	1
C71	C38	1
C14	C39	132
C17	C39	60
C18	C39	63
C25	C39	2474
C28	C39	1
C35	C39	12
C40	C39	26503
C51	C39	7
C63	C39	5
C7	C39	15
C11	C4	2421
C14	C4	83
C17	C4	9
C18	C4	97
C21	C4	125
C25	C4	1
C28	C4	246
C32	C4	2
C34	C4	10
C4	C4	83915
C41	C4	2
C46	C4	457
C59	C4	3
C63	C4	1
C69	C4	8
C11	C40	1
C14	C40	8
C17	C40	15
C18	C40	5
C21	C40	52
C25	C40	6
C27	C40	4
C32	C40	1
C35	C40	63
C4	C40	8
C41	C40	28201
C46	C40	5
C51	C40	3
C56	C40	14
C63	C40	2
C7	C40	11
C10	C41	17
C15	C41	2
C20	C41	182
C21	C41	1
C22	C41	17
C24	C41	88
C26	C41	1
C30	C41	176
C42	C41	41
C43	C41	26275
C48	C41	1
C49	C41	38
C5	C41	29
C50	C41	1
C54	C41	2
C6	C41	1
C7	C41	76
C26	C42	213
C32	C42	1
C37	C42	1
C44	C42	7107
C45	C42	17823
C50	C42	1
C53	C42	18
C63	C42	4
C7	C42	4
C13	C43	7
C14	C43	18
C21	C43	1
C25	C43	19
C27	C43	1
C28	C43	4
C32	C43	1
C37	C43	910
C44	C43	2
C47	C43	14973
C48	C43	8739
C50	C43	1
C1	C44	1
C10	C44	3
C21	C44	15
