Baseline	Perturbed	Freq
C31	C44	5
C37	C44	13
C44	C44	1
C47	C44	2
C48	C44	5661
C49	C44	1
C50	C44	3
C54	C44	11160
C60	C44	1
C7	C44	5
C70	C44	1
C71	C44	6
C8	C44	1
C9	C44	2
C2	C45	2
C30	C45	373
C43	C45	6
C49	C45	13496
C11	C46	4
C17	C46	8
C18	C46	36
C21	C46	14
C34	C46	29
C38	C46	4
C4	C46	40
C41	C46	3
C46	C46	13353
C51	C46	2
C59	C46	4
C69	C46	1
C7	C46	10
C15	C47	1
C17	C47	3
C21	C47	11
C25	C47	1
C26	C47	179
C27	C47	241
C30	C47	2
C32	C47	11
C45	C47	2
C5	C47	17
C50	C47	12748
C58	C47	1
C60	C47	2
C62	C47	1
C67	C47	4
C7	C47	210
C17	C48	17
C18	C48	3
C27	C48	16
C32	C48	4
C35	C48	2
C40	C48	2
C51	C48	12712
C59	C48	2
C62	C48	76
C21	C49	41
C27	C49	14
C33	C49	5
C39	C49	64
C52	C49	11862
C7	C49	2
C10	C5	211
C20	C5	7032
C21	C5	75
C24	C5	203
C42	C5	102
C54	C5	4
C6	C5	77142
C64	C5	36
C12	C50	8
C15	C50	3
C26	C50	5
C36	C50	3
C44	C50	1
C45	C50	147
C53	C50	11499
C8	C50	1
C0	C51	2
C1	C51	8
C2	C51	7
C22	C51	31
C3	C51	36
C31	C51	1
C43	C51	11
C5	C51	10
C55	C51	11079
C17	C52	490
C21	C52	2
C34	C52	1
C35	C52	80
C41	C52	16
C56	C52	9833
C63	C52	3
C13	C53	11
C15	C53	3
C31	C53	1
C53	C53	15
C57	C53	9604
C58	C53	2
C73	C53	1
C32	C54	2
C50	C54	2
C58	C54	9084
C63	C54	5
C7	C54	30
C11	C55	2
C18	C55	2
C21	C55	1
C28	C55	24
C32	C55	1
C34	C55	3
C38	C55	1
C4	C55	98
C46	C55	20
C59	C55	7709
C15	C56	25
C17	C56	2
C21	C56	4
C26	C56	84
C27	C56	6
C30	C56	184
C32	C56	7
C34	C56	113
C35	C56	1
C5	C56	2
C50	C56	2
C60	C56	6134
C61	C56	1
C7	C56	1281
C27	C57	3
C38	C57	1
C51	C57	2
C62	C57	5197
C12	C58	1
C15	C58	3
C18	C58	2
C19	C58	25
C21	C58	11
C26	C58	1
C27	C58	3
C29	C58	3
C34	C58	334
C44	C58	7
C5	C58	1
C50	C58	1
C60	C58	1
C64	C58	1
C65	C58	3
C68	C58	2855
C7	C58	8
C8	C58	1466
C10	C59	4534
C24	C59	3
C42	C59	1
C6	C59	123
C15	C6	8
C16	C6	344
C21	C6	124
C26	C6	21
C27	C6	8
C3	C6	83
C30	C6	36
C37	C6	14
C43	C6	34
C5	C6	81823
C50	C6	66
C60	C6	2
C65	C6	1
C67	C6	1
C7	C6	769
C71	C6	4
C27	C60	4
C30	C60	897
C48	C60	1
C66	C60	3586
C0	C61	24
C1	C61	7
C19	C61	2
C23	C61	10
C3	C61	55
C31	C61	2
C5	C61	3
C65	C61	4092
C7	C61	1
C8	C61	27
C15	C62	62
C2	C62	8
C20	C62	2
C22	C62	10
C24	C62	1
C27	C62	7
C29	C62	353
C32	C62	1
C34	C62	2
C36	C62	2
C40	C62	4
C55	C62	20
C61	C62	3681
C7	C62	7
C10	C63	5
C20	C63	5
C3	C63	5
C42	C63	1
C64	C63	4020
C66	C63	28
C8	C63	2
C15	C64	2
C17	C64	12
C26	C64	2
C32	C64	1
C44	C64	1
C51	C64	2
C67	C64	3526
C7	C64	13
C1	C65	1
C3	C65	8
C31	C65	2
C34	C65	1
C5	C65	3
C70	C65	1477
C0	C66	18
C1	C66	41
C3	C66	49
C71	C66	1091
C28	C67	1
C34	C67	2
C4	C67	40
C44	C67	1
C45	C67	41
C63	C67	1069
C69	C67	1
C11	C68	5
C4	C68	144
C69	C68	859
C19	C69	2
C72	C69	731
C10	C7	23651
C19	C7	6
C20	C7	37859
C21	C7	772
C24	C7	16658
C26	C7	1
C3	C7	193
C30	C7	41
C36	C7	6
C37	C7	4
C42	C7	44
C43	C7	656
C45	C7	1
C5	C7	7
C54	C7	7
C6	C7	8
C61	C7	6
C64	C7	52
C68	C7	1
C7	C7	25
C8	C7	2
C26	C70	1
C32	C70	1
C7	C70	1
C74	C70	590
C32	C71	328
C41	C71	1
C13	C8	12
C15	C8	4450
C21	C8	6
C29	C8	38705
C32	C8	57
C33	C8	3
C36	C8	30308
C37	C8	58
C48	C8	1
C60	C8	1
C63	C8	10
C73	C8	1
C19	C9	1758
C64	C9	11
C8	C9	68682
