Baseline	Cells	Largest_Fragment_Fraction	Best_Jaccard	Fragments
C0	131708	0.825014425851125	0.822541331072488	9
C1	116605	0.725251918871404	0.619913648392086	10
C10	66201	0.554583767616803	0.390279682367573	11
C11	64233	0.958790652779724	0.927947203471553	8
C12	59340	0.899410178631614	0.895381414934488	6
C13	55024	0.998800523407967	0.904122659822986	7
C14	55005	0.992200709026452	0.982713915298185	13
C15	53524	0.824658097302145	0.785908872389295	21
C16	50018	0.896617217801591	0.889062902682235	8
C17	49635	0.974554245995769	0.8341582024177	21
C18	47583	0.954962906920539	0.86111163751445	14
C19	46237	0.961221532538876	0.916843733883445	6
C2	104961	0.999771343641924	0.95066269262477	5
C20	45939	0.824114586734583	0.429825158946412	10
C21	44264	0.947745346105187	0.885023522710491	32
C22	43486	0.912500574897668	0.89698901396989	5
C23	43006	0.992512672650328	0.668179896995977	6
C24	42811	0.557006376865759	0.47351072279587	8
C25	41936	0.896294353300267	0.867839578859874	11
C26	41045	0.764770373979778	0.680660060281458	19
C27	40135	0.847140899464308	0.458394003127865	25
C28	40033	0.982939075262908	0.915883064891537	14
C29	39267	0.985687727608424	0.521813573489363	11
C3	99452	0.878785745887463	0.716621432144116	11
C30	38918	0.930674752042757	0.82995348410898	15
C31	38799	0.985747055336478	0.861881690140845	13
C32	37149	0.975638644378045	0.888180949346926	28
C33	34847	0.893620684707435	0.882277943051424	7
C34	34214	0.963202197930672	0.922644045019318	20
C35	32917	0.929732357140687	0.915355626009451	13
C36	31586	0.959539036281897	0.404700226999599	9
C37	31055	0.966961841893415	0.954331659569059	13
C38	30771	0.998635078482987	0.996950329299549	10
C39	30031	0.99740268389331	0.439741613447846	4
C4	86588	0.969129671548021	0.931840138585055	13
C40	29315	0.904076411393485	0.826050367784566	10
C41	28669	0.983675747322892	0.976928672879066	12
C42	28279	0.8668976979384	0.358679112775794	8
C43	27607	0.951751367406817	0.929101838755304	10
C44	25198	0.714699579331693	0.461095322221369	11
C45	18516	0.962572909915749	0.689077904504156	13
C46	16140	0.827323420074349	0.819453820190242	12
C47	14990	0.998865910607071	0.606366176649253	5
C48	14772	0.591592201462226	0.284574554690807	11
C49	13604	0.992061158482799	0.96503396496246	5
C5	83192	0.983544090777959	0.965953227006033	18
C50	13278	0.960084350052719	0.91291893440275	18
C51	12898	0.985579159559622	0.976344086021505	13
C52	11947	0.992885243157278	0.982522985173528	4
C53	11535	0.996879063719116	0.982568572160984	5
C54	11207	0.995806192558223	0.659262759924386	7
C55	11147	0.993899703956221	0.984537456678219	8
C56	9883	0.994940807447131	0.938711217183771	6
C57	9625	0.997818181818182	0.994408780285773	4
C58	9099	0.998351467194197	0.994090610636901	8
C59	7729	0.997412343123302	0.978175358457049	7
C6	80099	0.963083184559108	0.878990907226362	10
C60	6398	0.95873710534542	0.756350184956843	12
C61	5651	0.651389134666431	0.600489396411093	13
C62	5289	0.982605407449423	0.981491973559962	6
C63	4586	0.668338421282163	0.228809931506849	21
C64	4122	0.975254730713246	0.964491362763916	6
C65	4099	0.998292266406441	0.967375886524823	4
C66	3624	0.989514348785872	0.792311091471498	4
C67	3539	0.996326645945182	0.987122060470325	7
C68	2856	0.999649859943978	0.60397715252803	2
C69	2074	0.57907425265188	0.386414754835807	6
C7	75836	0.85162719552719	0.805447470817121	33
C70	1488	0.99260752688172	0.98270126413839	6
C71	1147	0.951176983435048	0.869322709163347	8
C72	732	0.998633879781421	0.99591280653951	2
C73	674	0.997032640949555	0.021085660495764	3
C74	591	0.998307952622673	0.993265993265993	2
C8	72416	0.948436809544852	0.925820583675945	10
C9	69857	0.943656326495555	0.910184187998785	5
