Task	Seed	Resolution	Role	Cells	Clusters	ARI	Seconds
1	20260730	2	baseline_replay	2602031	75	1	3502.70046663284
2	42	2	seed	2602031	77	0.754473754912277	3845.92348670959
3	2026	2	seed	2602031	72	0.803025492214823	4630.68647432327
4	20260730	1.5	resolution	2602031	64	0.712367845263224	4463.72982001305
5	20260730	2.5	resolution	2602031	86	0.685946143287341	3909.18502545357
