Baseline	Cells	Largest_Fragment_Fraction	Best_Jaccard	Fragments
C0	131708	1	1	1
C1	116605	1	1	1
C10	66201	1	1	1
C11	64233	1	1	1
C12	59340	1	1	1
C13	55024	1	1	1
C14	55005	1	1	1
C15	53524	1	1	1
C16	50018	1	1	1
C17	49635	1	1	1
C18	47583	1	1	1
C19	46237	1	1	1
C2	104961	1	1	1
C20	45939	1	1	1
C21	44264	1	1	1
C22	43486	1	1	1
C23	43006	1	1	1
C24	42811	1	1	1
C25	41936	1	1	1
C26	41045	1	1	1
C27	40135	1	1	1
C28	40033	1	1	1
C29	39267	1	1	1
C3	99452	1	1	1
C30	38918	1	1	1
C31	38799	1	1	1
C32	37149	1	1	1
C33	34847	1	1	1
C34	34214	1	1	1
C35	32917	1	1	1
C36	31586	1	1	1
C37	31055	1	1	1
C38	30771	1	1	1
C39	30031	1	1	1
C4	86588	1	1	1
C40	29315	1	1	1
C41	28669	1	1	1
C42	28279	1	1	1
C43	27607	1	1	1
C44	25198	1	1	1
C45	18516	1	1	1
C46	16140	1	1	1
C47	14990	1	1	1
C48	14772	1	1	1
C49	13604	1	1	1
C5	83192	1	1	1
C50	13278	1	1	1
C51	12898	1	1	1
C52	11947	1	1	1
C53	11535	1	1	1
C54	11207	1	1	1
C55	11147	1	1	1
C56	9883	1	1	1
C57	9625	1	1	1
C58	9099	1	1	1
C59	7729	1	1	1
C6	80099	1	1	1
C60	6398	1	1	1
C61	5651	1	1	1
C62	5289	1	1	1
C63	4586	1	1	1
C64	4122	1	1	1
C65	4099	1	1	1
C66	3624	1	1	1
C67	3539	1	1	1
C68	2856	1	1	1
C69	2074	1	1	1
C7	75836	1	1	1
C70	1488	1	1	1
C71	1147	1	1	1
C72	732	1	1	1
C73	674	1	1	1
C74	591	1	1	1
C8	72416	1	1	1
C9	69857	1	1	1
